Are you interested in being a Team Representative? ,d580f6fedb5a7e8e112798ba7215c376,d544872a7a31ad80d4ec06d2ab3c106b,aed5a51831f1e9b3ea1d17ba844d32cd,d8576d770bc1e39ea2fec0dfef9c88a9,9c7028fd2f6e7005972bf543a45b2e06,a1ef38fb26b1b81ea66f46b5dc3e10c7,1ed3ddcaa6fab66fdd8673d0de207c3c,5ce679da3f7693e797ab5fc5b5fb5ccd,058754028b379782720a5f1f2d3e5311,889e7cf1f694a813051e599ade1a90e0,f51e4de107872409c4486cd4881297fb,21a0065e54f798bad719b2afe776f71c,e93be764a63e55196107e7e2ab6e957b,2b61e0b345dbfadd1a49bd03b7b789c6,id name,email anonymized,anonymized group preference
No,4th,6th,2nd,1st,5th,3rd,7th,8th,I am currently enrolled in this lab section,I am not available,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,97e975574ed2fba26a5befbc773f1009,7afac4678e7bc51739847ac8cab153a1,"['efdc7820b6fa463c8ae43cffbe5219a2', 'b32355b0f6e5375ea6cbd4fe26d50d70']"
Yes,8th,7th,3rd,1st,4th,6th,2nd,5th,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,ee53d441969f5c0bc9ba8a0f649cfcf5,95798b5a8d20fe91f2040fc5dfee2e8c,"['971540106ec1abdefc8c41b65a43f717', '01c8f011d3189c9618393b7339d147ba', 'bc3870e0531fe3c1fc6b1b88fed6ff49', '1974881b8b7d008da5943beb5128a66b']"
Yes,6th,1st,7th,4th,2nd,3rd,5th,8th,I am not available,I am not available,I am not available,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",0a2dc452efd2bc609b3b6f7a31fad230,9b58f86366fbf77b95d27371240e1015,['5792b5f24239f136bf63c62f21a9176b']
No,6th,1st,7th,4th,2nd,3rd,5th,8th,I am not available,I am not available,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,bd9069370aa7fdd3573af05d433959b2,5792b5f24239f136bf63c62f21a9176b,['9b58f86366fbf77b95d27371240e1015']
Maybe,2nd,5th,6th,1st,4th,3rd,8th,7th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,I am not available,59af82245414820f13e3c5a65704af53,57ca736ec14fddb471898fbc20cc8b4b,['5929cad01b57fbf7017fdcb8e48a70ea']
Maybe,8th,7th,3rd,1st,4th,6th,2nd,5th,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,a3cfb1f86ca5187d6e8a42a35b4e614c,bc3870e0531fe3c1fc6b1b88fed6ff49,"['1974881b8b7d008da5943beb5128a66b', '95798b5a8d20fe91f2040fc5dfee2e8c', '01c8f011d3189c9618393b7339d147ba', '971540106ec1abdefc8c41b65a43f717']"
No,2nd,5th,4th,1st,3rd,7th,6th,8th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,9f7ab3583c545d6e44b118b1d1ad4e95,264e76884f7ff05303c5c4aeb3760467,"['3f5dee48a70afdae6f6efaa67988e0c6', 'd5005166c0b9c54e0a9a47665f5bfdde', '814fd5a4ad4557b45fc7e929948686b8']"
No,5th,6th,8th,2nd,1st,3rd,7th,4th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,I am not available,I am not available,c1c9fb8639ef0f16014f0ddbf3f5cf1d,3f5d8d79783a8dbc7816fe078885b6c6,[]
Maybe,3rd,5th,2nd,1st,4th,6th,8th,7th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",372c60ac9b5e125dd9a6c4fb0a64d202,6eb4d89943d2de2b6a5e4d4b083ea56a,['f5651ba42e900a7afae603f451f8c4b3']
Yes,8th,4th,5th,6th,1st,7th,3rd,2nd,I am not available,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,d387da89f7b62de583614c1daa8d3e2b,23461f9739d0e6a2a2739487a036bdac,['9f3e007f66005c51c019aea94faf066b']
Maybe,4th,5th,2nd,3rd,6th,1st,8th,7th,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,I am not available,3020b84e5ce90c21c7900ae4c86bf4a3,5a9d55420c60a74eaac88d434bb7a730,[]
No,2nd,4th,1st,3rd,6th,5th,8th,7th,I am currently enrolled in this lab section,I am not available,I am not available,I am not available,I am not available,I am not available,19ceb6b92da0c02baa52273db52551cb,efdc7820b6fa463c8ae43cffbe5219a2,"['3ec9d2740b82457728fa71f83cbc8244', 'b32355b0f6e5375ea6cbd4fe26d50d70']"
No,7th,5th,6th,3rd,4th,8th,1st,2nd,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,ca2e26c6c4607de7517d63cfd048df26,a7cbb112bec0c14b37dd857cd89eb1f9,['21f1bee24563ac36857f362c1ad924bb']
Maybe,4th,7th,3rd,5th,8th,6th,2nd,1st,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,2c5562dd450de27fc15afb1db9b070e1,01c8f011d3189c9618393b7339d147ba,['95798b5a8d20fe91f2040fc5dfee2e8c']
No,2nd,3rd,8th,1st,4th,7th,5th,6th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,af1b1a96d9a24da4ba2ff6cf47b97145,c09bc020ea4d12862e684150a0c47030,['1d9eff09e4d1b560c8467538fc077640']
No,1st,6th,2nd,8th,5th,7th,3rd,4th,"I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",I am not available,a557186621f06597c73dd7b4b22b9798,e1a963c80adfd1a9fa19e0405da8a641,['efdc7820b6fa463c8ae43cffbe5219a2']
Yes,8th,7th,3rd,1st,4th,6th,2nd,5th,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,6ab3848fd19ed59c3ac81e49b2850270,971540106ec1abdefc8c41b65a43f717,"['bc3870e0531fe3c1fc6b1b88fed6ff49', '01c8f011d3189c9618393b7339d147ba', '95798b5a8d20fe91f2040fc5dfee2e8c', '1974881b8b7d008da5943beb5128a66b']"
Maybe,6th,8th,3rd,5th,4th,7th,2nd,1st,I am not available,I am currently enrolled in this lab section,I am not available,I am not available,I am not available,I am not available,78cb197e0d810be3e4c56f8a2ba00967,d203ecd04c59b60a6557527334279a5b,[]
No,5th,7th,3rd,4th,6th,8th,1st,2nd,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,9ed27880e23401f3ce91b1a1032ee88e,6487f5a51dcb53edb4ac5995c1d09f84,"['88836b5e1839c02d1fe0d160b1b00fcb', '6c23a8dff790de6353f1cc1b69119c12', '9ccb1da50a566cf6ae3f8ec8ee36f2bd', '2c20aabd9304f2794e10471a601152db']"
Maybe,2nd,5th,4th,1st,3rd,7th,6th,8th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",c2103bd2931bfd53c8443e165966af07,3f5dee48a70afdae6f6efaa67988e0c6,"['d5005166c0b9c54e0a9a47665f5bfdde', '264e76884f7ff05303c5c4aeb3760467', '814fd5a4ad4557b45fc7e929948686b8']"
Maybe,3rd,4th,2nd,1st,5th,7th,6th,8th,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,4a7e892a286845a27849f461645613d6,f10bb10e8a7bb351b8e5adbf0926603b,[]
Maybe,3rd,2nd,4th,1st,5th,6th,7th,8th,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,27214f58b42d6409027a2049bddf5dad,91da0d8c21984731e100b98cd95e782d,[]
Maybe,8th,7th,3rd,1st,4th,6th,2nd,5th,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",6fe0f8b4904554ccbdf98f338c3f4333,1974881b8b7d008da5943beb5128a66b,"['95798b5a8d20fe91f2040fc5dfee2e8c', 'bc3870e0531fe3c1fc6b1b88fed6ff49', '01c8f011d3189c9618393b7339d147ba', '971540106ec1abdefc8c41b65a43f717']"
No,3rd,4th,5th,1st,6th,7th,2nd,8th,I am not available,I am not available,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,c1cf0be77636c5d216b4a509b8217fec,39b69222eaebdf1b8b712dc3f3b15b16,['0aafc26cb27eb7d310c2e3809b4caae7']
Maybe,3rd,4th,5th,1st,6th,7th,2nd,8th,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,I am currently enrolled in this lab section,a04e3fbda3fb5d0cc50a65344eac4bb0,0aafc26cb27eb7d310c2e3809b4caae7,['39b69222eaebdf1b8b712dc3f3b15b16']
No,3rd,4th,2nd,1st,6th,5th,8th,7th,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,f273e2a0e0f69d4c728c8b9651d5d27b,86af6f283d9cef284e441dd074366f4f,"['f5651ba42e900a7afae603f451f8c4b3', '48c421c4258123c2fd37afbf62cebf53', '44d2b21d06e2267a64f27e461bcb1d04', 'b7bba94e2a117b9cfb4463088cd77334', 'b32355b0f6e5375ea6cbd4fe26d50d70']"
Yes,4th,6th,7th,8th,5th,1st,3rd,2nd,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,4aafee78d4441c66b694e52573ca1d96,2d6a5de78acbe96177320328cf2693b6,"['070dd61b277baa53d3e5f34ef59577bd', '9ccb1da50a566cf6ae3f8ec8ee36f2bd']"
Maybe,4th,6th,7th,8th,5th,1st,3rd,2nd,I am not available,I am not available,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,7ca7f19376e084f51f71104ae9773088,7ed984753cd00756f0796f08d2203f12,"['9ccb1da50a566cf6ae3f8ec8ee36f2bd', '070dd61b277baa53d3e5f34ef59577bd', '2d6a5de78acbe96177320328cf2693b6', ' ']"
Yes,2nd,3rd,8th,1st,4th,7th,5th,6th,I am not available,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",50141ece3aae41bc68d8993b81692cbb,1d9eff09e4d1b560c8467538fc077640,"['f85f5aa5388ed09580d7e9c9bc018a91', 'c09bc020ea4d12862e684150a0c47030']"
Maybe,4th,6th,7th,8th,5th,1st,3rd,2nd,I am not available,I am currently enrolled in this lab section,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,8b383ac2f7b3b6107d1548c5adea262a,9ccb1da50a566cf6ae3f8ec8ee36f2bd,"['070dd61b277baa53d3e5f34ef59577bd', '2d6a5de78acbe96177320328cf2693b6', '7ed984753cd00756f0796f08d2203f12']"
No,7th,4th,6th,3rd,5th,8th,1st,2nd,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,d3b8981640bc3668cdadb6f50a8d4450,21f1bee24563ac36857f362c1ad924bb,['a7cbb112bec0c14b37dd857cd89eb1f9']
No,5th,4th,3rd,2nd,6th,7th,1st,8th,I am not available,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",3a0aa3b96eee4761c6c8d506af48e67a,464a734f9526bcf31324310cdace2883,"['90a1e95dba0d3d9c11e3f220cc4f7879', '6d598536e10c91148b13d3f75972fab4', 'cbf4916661481b57edd66b096a83fa29', 'a3b3bfd7f6b5aa1eaee491de7414219c']"
No,4th,6th,5th,2nd,3rd,8th,7th,1st,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,c2fae27873e0afea5e82e8b57712bf52,bf1bd74441c65164574093afbbfef6c3,[]
Yes,4th,6th,7th,8th,5th,1st,3rd,2nd,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,I am not available,b6941091941e30b931b89d4de6bbf4ff,070dd61b277baa53d3e5f34ef59577bd,"['2d6a5de78acbe96177320328cf2693b6', '9ccb1da50a566cf6ae3f8ec8ee36f2bd', '7ed984753cd00756f0796f08d2203f12']"
Yes,1st,5th,2nd,3rd,8th,6th,4th,7th,"I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,8ab73de22e43e5d477f58955ac588ddc,a09595d5ba5d49a4262d9abd57dfc52d,"['f88e738cd2c184f079e0bb4539f91f85', '44334033cfd9bc35a40f7e2162e59227']"
Yes,1st,3rd,2nd,5th,6th,7th,4th,8th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,14500b47c17df110a25b70597e76fbfe,88c20051023b43d35fa08994fe451a97,"['c31a771fb300ec9f4dc317b8588fb962', '43548637b76aea81e3e5f26887eaa92d', 'b462f3fb55ef32c7c60555c8fd6733f1']"
No,1st,6th,4th,2nd,7th,3rd,5th,8th,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",3673110ce43db8989a1db00d0afcf8bc,c31a771fb300ec9f4dc317b8588fb962,"['43548637b76aea81e3e5f26887eaa92d', '88c20051023b43d35fa08994fe451a97']"
Maybe,2nd,5th,4th,1st,3rd,7th,6th,8th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",bcc556e85e025b819d8437566793046f,d5005166c0b9c54e0a9a47665f5bfdde,"['3f5dee48a70afdae6f6efaa67988e0c6', '264e76884f7ff05303c5c4aeb3760467', '814fd5a4ad4557b45fc7e929948686b8']"
Yes,5th,6th,3rd,2nd,8th,4th,1st,7th,I am not available,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,790089a10e46239db0634bd5ed8a8f47,cbf4916661481b57edd66b096a83fa29,"['90a1e95dba0d3d9c11e3f220cc4f7879', '6d598536e10c91148b13d3f75972fab4', 'a3b3bfd7f6b5aa1eaee491de7414219c', '464a734f9526bcf31324310cdace2883']"
No,4th,2nd,3rd,1st,5th,7th,8th,6th,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,I am not available,I am not available,4e59e2d6e2f2afcc266f92237296b4b8,8d72e9c4209298bc1ab44e81d3793c9c,[]
Yes,1st,6th,2nd,3rd,5th,4th,8th,7th,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",007918a2d7d574356badfe217a059864,a7292d6bc317fa43aaa86a1ccc03621a,"['7e8410d745b99086ace602c30f5d915b', '38b3f5aac6bc48c537e6a9f9b08fd8e8']"
No,6th,5th,4th,3rd,1st,2nd,7th,8th,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,I am not available,I am not available,6ca9fc0b6e515361e52694c72d374c6d,265f0c6de5420c006ec390d2ee8a2c89,"['3b87db2342bcfbe3256d597e86d41974', 'e0236d9da4ace34be7bdcd5d502a1d3a', 'e016585afa6d9b62eb0364943fab6d89', '092d9bd8930f5b01ccc006d39bf096ff']"
Yes,6th,5th,4th,3rd,1st,2nd,7th,8th,I am currently enrolled in this lab section,I am not available,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",5f546bd0530fc2e9eab599d9ff3268c5,092d9bd8930f5b01ccc006d39bf096ff,"['265f0c6de5420c006ec390d2ee8a2c89', '3b87db2342bcfbe3256d597e86d41974', 'e0236d9da4ace34be7bdcd5d502a1d3a', 'e016585afa6d9b62eb0364943fab6d89']"
No,6th,5th,4th,3rd,1st,2nd,7th,8th,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,b294ac19b716c5ac1c61e09bb7a63c9b,e016585afa6d9b62eb0364943fab6d89,"['092d9bd8930f5b01ccc006d39bf096ff', '265f0c6de5420c006ec390d2ee8a2c89', '3b87db2342bcfbe3256d597e86d41974', 'e0236d9da4ace34be7bdcd5d502a1d3a']"
No,6th,5th,4th,3rd,1st,2nd,7th,8th,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,I am not available,401a46d16ed8971f74518f57a9dca0e0,3b87db2342bcfbe3256d597e86d41974,"['092d9bd8930f5b01ccc006d39bf096ff', 'e016585afa6d9b62eb0364943fab6d89', 'e0236d9da4ace34be7bdcd5d502a1d3a', '265f0c6de5420c006ec390d2ee8a2c89']"
No,1st,5th,6th,2nd,4th,3rd,7th,8th,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,3e28ac9e7e84ace3e21d380ea4cc5e8b,f277983fdf2ec048f04f4c4965ac253c,['4d1e81608a15d3cae014167be9f312f5']
No,6th,5th,4th,3rd,1st,2nd,7th,8th,I am not available,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",ef64551e35c78c317bfcdf134490997d,e0236d9da4ace34be7bdcd5d502a1d3a,"['265f0c6de5420c006ec390d2ee8a2c89', 'e016585afa6d9b62eb0364943fab6d89', '092d9bd8930f5b01ccc006d39bf096ff', '3b87db2342bcfbe3256d597e86d41974']"
Maybe,2nd,6th,4th,1st,3rd,8th,5th,7th,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,62b3c7dbd429d9ffc4d8f99eb2ce9a63,814fd5a4ad4557b45fc7e929948686b8,"['3f5dee48a70afdae6f6efaa67988e0c6', 'd5005166c0b9c54e0a9a47665f5bfdde', '264e76884f7ff05303c5c4aeb3760467']"
Yes,5th,6th,3rd,2nd,8th,4th,1st,7th,I am not available,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,07ceab9439e26a500baba77aca5a50cd,a3b3bfd7f6b5aa1eaee491de7414219c,"['6d598536e10c91148b13d3f75972fab4', 'cbf4916661481b57edd66b096a83fa29', '464a734f9526bcf31324310cdace2883', '90a1e95dba0d3d9c11e3f220cc4f7879']"
Maybe,1st,3rd,2nd,5th,6th,7th,4th,8th,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,9cb605e2b8810a12e4ba30581f87f3e5,b462f3fb55ef32c7c60555c8fd6733f1,"['88c20051023b43d35fa08994fe451a97', '43548637b76aea81e3e5f26887eaa92d', 'c31a771fb300ec9f4dc317b8588fb962']"
No,1st,5th,6th,2nd,4th,3rd,7th,8th,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,c41bcc5791b0acd74b74c8fac33038ad,4d1e81608a15d3cae014167be9f312f5,['f277983fdf2ec048f04f4c4965ac253c']
Maybe,5th,7th,3rd,1st,2nd,8th,6th,4th,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",e99f27d37f82c5fb6b025ed8209c9d74,3ff544010a74152c60e897926a7a7a5a,['779562ecdf573e0489bf4b076f5de07c']
Maybe,3rd,4th,1st,2nd,6th,5th,8th,7th,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",01d82a75de0187fa9ee4cc1a6402cdf8,385e69c921b4c003c72c4e5f84396206,"['6023789e43542942d3c5751e49359611', '779562ecdf573e0489bf4b076f5de07c', 'badde86deac09ed20930e45c1c5ba0fd']"
Maybe,3rd,4th,1st,2nd,6th,5th,8th,7th,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",bed0ff0cd27b988b02a89de79bf28ae7,6023789e43542942d3c5751e49359611,"['385e69c921b4c003c72c4e5f84396206', 'badde86deac09ed20930e45c1c5ba0fd', '779562ecdf573e0489bf4b076f5de07c', '5d9cdbe51bc65b169564fda0b93c2731']"
Maybe,6th,4th,7th,2nd,8th,5th,1st,3rd,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,I am not available,a73db0b5744f40ff1197e5f263935c08,6c23a8dff790de6353f1cc1b69119c12,"['2c20aabd9304f2794e10471a601152db', '88836b5e1839c02d1fe0d160b1b00fcb', '6487f5a51dcb53edb4ac5995c1d09f84']"
Maybe,6th,4th,7th,2nd,8th,5th,1st,3rd,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,b4893a88a1883253ad6230c24289857b,2c20aabd9304f2794e10471a601152db,"['6c23a8dff790de6353f1cc1b69119c12', '88836b5e1839c02d1fe0d160b1b00fcb', '6487f5a51dcb53edb4ac5995c1d09f84']"
Maybe,4th,6th,7th,8th,5th,3rd,1st,2nd,I am not available,I am currently enrolled in this lab section,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,127427e41321aa8d3ed9cd51f6dd5524,88836b5e1839c02d1fe0d160b1b00fcb,"['9ccb1da50a566cf6ae3f8ec8ee36f2bd', '6c23a8dff790de6353f1cc1b69119c12', '6487f5a51dcb53edb4ac5995c1d09f84', '2c20aabd9304f2794e10471a601152db', '3526ce00d20161b6996e9c812e4f7a99']"
Maybe,3rd,4th,1st,2nd,6th,7th,8th,5th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,I am not available,I am not available,6c8d7fc19be2cfa011bd18d1a559133c,badde86deac09ed20930e45c1c5ba0fd,"['6023789e43542942d3c5751e49359611', '385e69c921b4c003c72c4e5f84396206', '779562ecdf573e0489bf4b076f5de07c', '5d9cdbe51bc65b169564fda0b93c2731', '38b3f5aac6bc48c537e6a9f9b08fd8e8']"
Maybe,2nd,6th,4th,3rd,7th,5th,8th,1st,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,I am not available,"I am available at this time, but not currently enrolled",c91208e22df1c9f823306eff041786a8,629f7688170606abe3a61ae97af0821f,"['bd86fb3babb9adffa2aefd567ef777b6', '3de17c5638084b8ca8ece5462b2d52e7']"
Maybe,2nd,6th,4th,3rd,7th,5th,8th,1st,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,I am not available,34d1b86731c2e6324b36befb6cf17f3d,bd86fb3babb9adffa2aefd567ef777b6,"['3de17c5638084b8ca8ece5462b2d52e7', '629f7688170606abe3a61ae97af0821f']"
Maybe,2nd,6th,4th,3rd,7th,5th,8th,1st,I am currently enrolled in this lab section,I am not available,I am not available,I am not available,I am not available,I am not available,c83b3a23bad3a67a884489c783b8c968,3de17c5638084b8ca8ece5462b2d52e7,"['bd86fb3babb9adffa2aefd567ef777b6', '629f7688170606abe3a61ae97af0821f']"
No,5th,6th,3rd,2nd,8th,4th,1st,7th,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",d0bb681571106d0408c0368bf8f0b6c6,6d598536e10c91148b13d3f75972fab4,"['cbf4916661481b57edd66b096a83fa29', 'a3b3bfd7f6b5aa1eaee491de7414219c', '90a1e95dba0d3d9c11e3f220cc4f7879', '464a734f9526bcf31324310cdace2883']"
Maybe,4th,5th,3rd,2nd,6th,7th,1st,8th,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,8b520db2f1d118d6a639c82efbaf3725,38b3f5aac6bc48c537e6a9f9b08fd8e8,"['3526ce00d20161b6996e9c812e4f7a99', '6023789e43542942d3c5751e49359611', 'a7292d6bc317fa43aaa86a1ccc03621a', '2f81162a49f46ea20ba33a7c1b924ee5', '3c639f233741b1286f3c19025b50b239', 'badde86deac09ed20930e45c1c5ba0fd']"
Maybe,5th,7th,3rd,1st,2nd,8th,6th,4th,I am not available,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",I am not available,b3ebef4a6a925e636507f7ee0c858748,6a6ce7632dbc5ae6a0abf24f776dc692,['779562ecdf573e0489bf4b076f5de07c']
No,5th,6th,4th,1st,8th,2nd,7th,3rd,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,d4f3b573ff704a028be23fb962af9c45,5cbd42a8bb542e2318501b8f05b64b55,"['156b604febf991048d4a2142ef55a5c0', '3acccbfe643f865e0d7a37c294b42631']"
Maybe,5th,6th,4th,1st,8th,2nd,7th,3rd,I am not available,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,16209cdac848dcfa42195c2570e21320,156b604febf991048d4a2142ef55a5c0,"['5cbd42a8bb542e2318501b8f05b64b55', '3acccbfe643f865e0d7a37c294b42631', 'f523677f6b221abac7df6ae1cd721fb7']"
Yes,1st,5th,4th,2nd,6th,8th,3rd,7th,I am not available,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,f3440f137e503981d23155d0c96139e9,0c3979d3d66b194f5f87f7a757a98aba,['9df7ec6e944f0a3f3f4cbcdd98cd30f2']
No,2nd,3rd,8th,1st,4th,7th,5th,6th,I am currently enrolled in this lab section,I am not available,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,ebd7b0f5eafc34fb3c21f6e26d25ef43,f85f5aa5388ed09580d7e9c9bc018a91,['1d9eff09e4d1b560c8467538fc077640']
Yes,2nd,6th,7th,4th,8th,1st,5th,3rd,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,d72b902822ca36764bb76d8b71ac51f9,9f3e007f66005c51c019aea94faf066b,"['44334033cfd9bc35a40f7e2162e59227', '23461f9739d0e6a2a2739487a036bdac']"
